x,y,z,magnitude,time
-2.605,0.07,0.613,2.678,35.87
-2.426,0.1,-0.088,2.429,35.94
-1.334,0.389,0,1.389,36.01
0.275,-0.074,-0.262,0.387,36.08
0.977,-0.344,-0.887,1.363,36.15
-0.588,0.236,0.467,0.787,36.23
-0.42,-0.008,0.053,0.423,36.3
-3.48,-0.203,-0.475,3.519,36.37
-1.674,0.393,-0.275,1.741,36.44
-1.119,-0.25,0.248,1.173,36.51
-0.348,-0.037,-0.289,0.454,36.59
-0.279,0.025,-0.215,0.353,36.66
-2.451,0.139,0.266,2.469,36.73
-1.273,-0.139,0.078,1.283,36.8
-0.594,0.082,-0.066,0.603,36.87
-0.393,0.092,-0.186,0.444,36.94
-1.537,-0.078,-0.035,1.539,37.02
-0.531,-0.035,-0.125,0.547,37.09
-0.264,0.063,0.104,0.29,37.16
-2.613,-0.244,-1.576,3.062,37.23
-2.117,0.203,0.174,2.134,37.3
-1.471,-0.129,-0.189,1.488,37.38
0.324,0.15,-0.375,0.518,37.45
1.275,0.244,-0.842,1.548,37.52
-0.422,-0.162,-0.137,0.472,37.59
-0.633,-0.109,0.266,0.695,37.66
-3.961,0.375,-0.447,4.004,37.74
-1.982,0.076,0.359,2.016,37.81
-1.162,0.074,-0.074,1.167,37.88
-0.219,-0.047,-0.205,0.303,37.95
-0.156,0.057,-0.002,0.166,38.02
-2.615,0.404,0.037,2.647,38.09
-1.246,-0.088,-0.15,1.258,38.17
-0.578,0.064,0.082,0.587,38.24
-0.627,0.1,-0.396,0.748,38.31
-1.061,-0.035,0.24,1.088,38.38
-0.867,0.012,0.189,0.888,38.45
-2.549,-0.291,0.264,2.579,38.52
-1.9,0.072,-0.076,1.903,38.59
-0.891,0.02,0.131,0.9,38.67
0.818,0.143,-0.355,0.904,38.74
0.303,-0.186,0.076,0.363,38.81
-0.678,0.037,0.148,0.695,38.88
-0.377,0.096,-0.033,0.39,38.95
-2.822,0.166,-1.719,3.309,39.02
-1.693,0.443,-0.082,1.752,39.09
-0.846,-0.104,-0.053,0.854,39.16
-0.121,-0.023,-0.258,0.286,39.24
-0.432,0.082,0.006,0.439,39.31
-1.762,0.293,0.059,1.787,39.38
-1.295,0.018,-0.123,1.301,39.45
-0.477,0.07,-0.088,0.49,39.52
-0.186,-0.154,-0.203,0.315,39.6
-1.562,0.123,-0.068,1.569,39.67
-2.521,0.037,0.168,2.527,39.74
-1.637,0.084,-0.08,1.641,39.81
-0.646,0.002,0.074,0.651,39.88
0.717,-0.123,-0.158,0.744,39.95
0.326,-0.033,-0.074,0.336,40.02
-0.563,0.143,0.164,0.603,40.09
-2.184,-0.477,-0.004,2.235,40.17
-1.937,0.018,0.004,1.938,40.24
-1.053,-0.018,0.035,1.053,40.31
-0.324,-0.066,-0.148,0.363,40.38
-0.184,0.008,-0.061,0.193,40.46
-2.008,0.121,-0.043,2.012,40.53
-1.576,0.035,-0.096,1.579,40.6
-0.684,0.043,-0.131,0.697,40.67
-0.342,-0.096,-0.262,0.441,40.74
0.045,-0.088,-0.369,0.382,40.81
-3.482,0.031,0.559,3.527,40.88
-2.467,0.02,-0.09,2.469,40.96
-1.611,0.021,-0.307,1.64,41.03
0.086,0.057,-0.027,0.106,41.1
1.41,-0.166,-0.645,1.559,41.17
-0.492,0.066,0.318,0.59,41.24
-0.643,-0.012,0.078,0.647,41.31
-3.293,0.176,0.318,3.313,41.38
-2.193,0.053,-0.057,2.195,41.46
